IMG, SAMPLE, X, Y, SIZE_X, SIZE_Y, LIGHTING
frame0000,leaf,355,1922,125,75,shade
frame0000,leaf,2187,1571,45,35,sun
frame0009,leaf,2650,2250,155,100,shade
frame0033,leaf,2485,2320,195,120,sun
frame0051,leaf,1140,2305,150,110,sun
frame0055,leaf,465,1680,145,65,sun
frame0015,leaf,190,1890,110,50,sun
frame0017,leaf,1860,2130,80,50,sun
frame0017,leaf,3105,2295,60,55,sun
frame0035,leaf,2085,2235,95,75,sun
frame0049,leaf,2105,2105,100,100,sun
frame0049,leaf,760,2095,90,60,sun
frame0064,leaf,2100,2045,90,65,sun
frame0064,leaf,3400,2130,105,50,sun
frame0068,leaf,2155,2340,90,60,sun
frame0012,leaf,555,2130,100,70,sun
frame0012,leaf,3185,1805,60,50,sun
frame0019,leaf,180,1815,135,60,sun
frame0021,leaf,1510,1995,140,95,sun
frame0028,leaf,2095,2285,130,80,sun
frame0033,leaf,550,1985,140,80,sun
frame0041,leaf,2235,2120,90,75,sun
frame0046,leaf,2510,1655,80,50,sun
frame0046,leaf,3210,2175,110,85,sun
frame0051,leaf,3395,1770,80,45,sun
frame0061,leaf,1515,1620,100,50,sun
frame0061,leaf,2525,1695,60,45,sun
frame0065,leaf,3650,1885,100,90,sun
frame0073,leaf,1990,1835,110,60,shade
